2026-06-14 15:28:30 | INFO     | websocket | Wake word received from frontend. Triggering Sentinel online greeting.
2026-06-14 15:29:52 | ERROR    | gemini_service | Error receiving from Gemini: received 1007 (invalid frame payload data) error when processing input audio, please check if the inputaudio is in valid format: 16khz s16le pcm, mono channel.; Error; then sent 1007 (invalid frame payload data) error when processing input audio, please check if the inputaudio is in valid format: 16khz s16le pcm, mono channel.; Error
2026-06-14 15:29:52 | ERROR    | websocket | Error processing frontend audio: received 1007 (invalid frame payload data) error when processing input audio, please check if the inputaudio is in valid format: 16khz s16le pcm, mono channel.; Error; then sent 1007 (invalid frame payload data) error when processing input audio, please check if the inputaudio is in valid format: 16khz s16le pcm, mono channel.; Error
2026-06-14 15:29:52 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:29:54 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:30:59 | INFO     | websocket | Frontend client disconnected
2026-06-14 15:30:59 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 15:31:05 | INFO     | gemini_service | Initializing Vertex AI Client for project gencode-497110 in us-central1...
2026-06-14 15:48:20 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:48:20 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:48:23 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:48:33 | INFO     | websocket | Frontend client disconnected
2026-06-14 15:48:33 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 15:49:00 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:49:00 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:49:02 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:49:05 | INFO     | gemini_service | [LATENCY] First audio chunk received in 87 ms
2026-06-14 15:49:05 | INFO     | gemini_service | [LATENCY] First audio chunk received in 13 ms
2026-06-14 15:49:06 | INFO     | gemini_service | [LATENCY] First audio chunk received in 152 ms
2026-06-14 15:49:06 | WARNING  | gemini_service | User barge-in detected. Sending interrupt signal.
2026-06-14 15:49:07 | INFO     | gemini_service | [LATENCY] First audio chunk received in 36 ms
2026-06-14 15:49:07 | INFO     | gemini_service | [LATENCY] First audio chunk received in 4 ms
2026-06-14 15:49:08 | INFO     | gemini_service | [LATENCY] First audio chunk received in 21 ms
2026-06-14 15:49:08 | INFO     | gemini_service | [LATENCY] First audio chunk received in 7 ms
2026-06-14 15:50:54 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:50:54 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:50:54 | INFO     | websocket | Frontend client disconnected
2026-06-14 15:50:54 | INFO     | gemini_service | Receive task cancelled cleanly.
